ID,Название,Департамент,Город,Опыт,Расписание,Формат работы,Рабочие часы,График,Зарплата,Ссылка,Требования,Зона ответственности
129605023,Стажёр в IT-команду дата-центра (ЦОД) Яндекса,Yandex Infrastructure,Владимир,Нет опыта,Полный день,На месте работодателя,8 часов,5/2,Не указана,https://hh.ru/vacancy/129605023,"Готовы работать по графику 5/2 и уделять стажировке 40 часов в неделю. Хорошо знакомы с устройством ПК, принципами его работы...","Заниматься техническим обслуживанием парка серверов, монтировать и вводить в эксплуатацию серверное и сетевое оборудование. Выполнять поручения системных администраторов и сетевых..."
129395734,Junior IT-рекрутер в отдел стажировок,Яндекс,Москва,От 1 года до 3 лет,Полный день,На месте работодателя,8 часов,5/2,Не указана,https://hh.ru/vacancy/129395734,Готовы работать в высоком темпе и с большим количеством кандидатов одновременно.,"Вести рекрутмент полного цикла: искать кандидатов, отбирать заявки, подбирать команды. Общаться с нанимающими менеджерами: консультировать по процессам, управлять сроком подбора. "
129280001,Младший специалист по тендерам,"Облачные, инфраструктурные сервисы и Яндекс 360 ",Москва,От 1 года до 3 лет,Полный день,На месте работодателя,8 часов,5/2,Не указана,https://hh.ru/vacancy/129280001,"Получили высшее образование (экономическое, финансовое или юридическое). Работали в тендерном отделе со стороны поставщика более двух лет (рассматриваем кандидатов с...","Подготовка заявок на участие в тендерах. Вам нужно будет заполнять формы, собирать документы, в рамках подготовки заявок координировать работу команд..."
129775328,Менеджер по работе с корпоративными клиентами (junior level),Яндекс,Ош,Нет опыта,Удаленная работа,Удалённо,8 часов,5/2,Не указана,https://hh.ru/vacancy/129775328,Грамотно пишешь и говоришь на русском и на кыргызском языках. Работал в сфере продаж (желательно В2В сегмент) либо...,Развивать действующую клиентскую базу. Выстраивать долгосрочные отношения с клиентами. Аккуратно и вдумчиво работать в CRM-системе. Следить за сроком и...
129711945,Стажёр — Unity-разработчик в Плюс Детям,Плюс Фантех ,Москва,Нет опыта,Полный день,Гибрид,"8 часов, По договорённости",5/2,Не указана,https://hh.ru/vacancy/129711945,Хорошо знаете C# и понимаете ООП. Обладаете хорошей математической и алгоритмической базой. Разбираетесь в базовых алгоритмах и структурах данных.,"Технические доработки. Вам предстоит улучшать качество кода, инфраструктуру, производительность и безопасность, не меняя при этом внешнюю функциональность для пользователя. Автоматизация. "
129767039,Стажер-разработчик бэкенда,Яндекс,Москва,Нет опыта,Полный день,Гибрид,8 часов,5/2,Не указана,https://hh.ru/vacancy/129767039,Что нужно уметь: — Разбираться в алгоритмах и классических структурах данных.,"Разрабатывают сервис для автономного такси и роботов‑доставщиков. — Если вы участвовали в учебных или реальных проектах, хакатонах и олимпиадах по..."
129907422,Стажер iOS/Flutter,Яндекс,Москва,Нет опыта,Гибкий график,,По договорённости,Свободный,Не указана,https://hh.ru/vacancy/129907422,Базовое знание Swift / Dart для направлений iOS или Flutter соответственно. Умение решать алгоритмические задачи. Хотя бы минимальный опыт создания приложений...,"IOS-разработка. Flutter-разработка. Чтобы подать заявку на участие, нужно будет заполнить заявку на сайте, нажав “Откликнуться”."
129662104,Младший CRM-менеджер рекламного направления,Яндекс Доставка,Москва,От 1 года до 3 лет,Полный день,На месте работодателя,8 часов,5/2,Не указана,https://hh.ru/vacancy/129662104,"Настраивали или оптимизировали процессы и документооборот (будет большим плюсом). Работали в ecom, ритейле, финтехе, на маркетплейсах или в IT-продуктах. ",Построение и оптимизация процесса запуска рекламных кампаний с нуля. Разработать и внедрить полный процесс работы с рекламными кампаниями — от запуска...
124415892,Младший специалист по B2B-продажам,Яндекс Доставка,Ташкент,От 1 года до 3 лет,Полный день,Гибрид,8 часов,5/2,Не указана,https://hh.ru/vacancy/124415892,"Готовы к новым и интересным задачам, принятию оперативных, самостоятельных решений. - Активны, обучаемы, четко и уверенно выражаете свои мысли.",Активное привлечение и работа с действующими клиентами. - Адаптация клиентов в работе с нашим продуктом (проведение обучения для клиента). - 
129711271,Стажер-инженер по автоматизации тестирования в Финтех Java/Kotlin,"Финтех, Плюс Фантех ",Москва,Нет опыта,Полный день,"На месте работодателя, Гибрид",8 часов,5/2,Не указана,https://hh.ru/vacancy/129711271,"Понимаете, что такое теория тестирования и жизненный цикл ПО. Знакомы с принципами и подходами в автоматизации тестирования. Знаете основы работы...",Поддержка и развитие систем автоматизированного тестирования. Совместно с ментором вы будете участвовать в создании автоматизированных сценариев для проверки продукта. 
